Designator,Mid X,Mid Y,Rotation,Layer
C254,89.375,-68.25,270.0,top
C255,110.345,-144.2875,90.0,top
C256,116.695,-68.2225,270.0,top
C257,138.175,-144.2,90.0,top
C258,144.525,-68.03,270.0,top
C259,165.005,-144.0,90.0,top
C26,89.375,-146.025,270.0,top
C260,171.345,-67.93,270.0,top
C261,192.405,-143.93,90.0,top
C262,198.735,-67.9025,270.0,top
C263,219.82,-143.9375,90.0,top
C264,225.61,-67.94,270.0,top
C265,82.51,-148.9975,270.0,top
C266,89.375,-63.475,90.0,top
C267,110.345,-149.0625,270.0,top
C268,116.695,-63.4475,90.0,top
C269,138.175,-148.975,270.0,top
C27,110.345,-66.5125,90.0,top
C270,144.525,-63.255,90.0,top
C271,165.005,-148.775,270.0,top
C272,171.345,-63.155,90.0,top
C273,192.405,-148.705,270.0,top
C274,198.735,-63.1275,90.0,top
C275,219.82,-148.7125,270.0,top
C276,225.61,-63.165,90.0,top
C277,82.51,-152.4725,90.0,top
C278,89.375,-60.0,270.0,top
C279,110.345,-152.5375,90.0,top
C28,116.695,-145.9975,270.0,top
C280,116.695,-59.9725,270.0,top
C281,138.175,-152.45,90.0,top
C282,144.525,-59.78,270.0,top
C283,165.005,-152.25,90.0,top
C284,171.345,-59.68,270.0,top
C285,192.405,-152.18,90.0,top
C286,198.735,-59.6525,270.0,top
C287,219.82,-152.1875,90.0,top
C288,225.61,-59.69,270.0,top
C289,99.855,-52.77,90.0,bottom
C29,138.175,-66.425,90.0,top
C3,110.345,-58.2625,90.0,top
C30,144.525,-145.805,270.0,top
C31,165.005,-66.225,90.0,top
C32,171.345,-145.705,270.0,top
C33,192.405,-66.155,90.0,top
C34,198.735,-145.6775,270.0,top
C35,219.82,-66.1625,90.0,top
C36,225.61,-145.715,270.0,top
C37,82.51,-69.9225,270.0,top
C38,89.375,-142.55,90.0,top
C39,110.345,-69.9875,270.0,top
C4,116.695,-154.2475,270.0,top
C40,116.695,-142.5225,90.0,top
C41,138.175,-69.9,270.0,top
C42,144.525,-142.33,90.0,top
C43,165.005,-69.7,270.0,top
C44,171.345,-142.23,90.0,top
C45,192.405,-69.63,270.0,top
C46,198.735,-142.2025,90.0,top
C47,219.82,-69.6375,270.0,top
C48,225.61,-142.24,90.0,top
C49,82.51,-74.6975,90.0,top
C5,138.175,-58.175,90.0,top
C50,89.375,-137.775,270.0,top
C51,110.345,-74.7625,90.0,top
C52,116.695,-137.7475,270.0,top
C53,138.175,-74.675,90.0,top
C54,144.525,-137.555,270.0,top
C55,165.005,-74.475,90.0,top
C56,171.345,-137.455,270.0,top
C57,192.405,-74.405,90.0,top
C58,198.735,-137.4275,270.0,top
C59,219.82,-74.4125,90.0,top
C6,144.525,-154.055,270.0,top
C60,225.61,-137.465,270.0,top
C61,82.51,-78.1725,270.0,top
C62,89.375,-134.3,90.0,top
C63,110.345,-78.2375,270.0,top
C64,116.695,-134.2725,90.0,top
C65,138.175,-78.15,270.0,top
C66,144.525,-134.08,90.0,top
C67,165.005,-77.95,270.0,top
C68,171.345,-133.98,90.0,top
C69,192.405,-77.88,270.0,top
C7,165.005,-57.975,90.0,top
C70,198.735,-133.9525,90.0,top
C71,219.82,-77.8875,270.0,top
C72,225.61,-133.99,90.0,top
C73,82.51,-82.9475,90.0,top
C74,89.375,-129.525,270.0,top
C75,110.345,-83.0125,90.0,top
C76,116.695,-129.4975,270.0,top
C77,138.175,-82.925,90.0,top
C78,144.525,-129.305,270.0,top
C79,165.005,-82.725,90.0,top
C8,171.345,-153.955,270.0,top
C80,171.345,-129.205,270.0,top
C81,192.405,-82.655,90.0,top
C82,198.735,-129.1775,270.0,top
C83,219.82,-82.6625,90.0,top
C84,225.61,-129.215,270.0,top
C85,82.51,-86.4225,270.0,top
C86,89.375,-126.05,90.0,top
C87,110.345,-86.4875,270.0,top
C88,116.695,-126.0225,90.0,top
C89,138.175,-86.4,270.0,top
C9,192.405,-57.905,90.0,top
C90,144.525,-125.83,90.0,top
C91,165.005,-86.2,270.0,top
C92,171.345,-125.73,90.0,top
C93,192.405,-86.13,270.0,top
C94,198.735,-125.7025,90.0,top
C95,219.82,-86.1375,270.0,top
C96,225.61,-125.74,90.0,top
C97,82.51,-91.1975,90.0,top
